Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,generate column 1,generate column 2,generate column 3,generate column 4,categorical2,categorical3
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,0.41,-1.91,0.36,-0.67,e,W
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,0.64,0.52,0.62,-1.53,e,B
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,0.13,0.52,-1.28,1.19,e,W
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,0.02,2.49,0.66,-1.0,e,B
M,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32,10,-0.13,0.42,-1.18,0.61,e,H
M,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27,11,1.21,1.13,-0.81,0.89,e,H
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,0.37,0.27,-0.21,-0.38,e,W
F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,-2.15,-1.12,-0.6,0.46,e,H
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,-0.69,-1.06,0.31,-1.66,e,W
F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,0.23,-0.14,-2.37,-0.28,e,A
F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,-0.6,-0.83,0.6,-0.41,e,B
F,0.61,0.48,0.175,1.0675,0.391,0.21600000000000005,0.42,15,0.78,0.97,-0.17,0.5,e,W
F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13,-0.06,-1.37,-0.25,-1.44,e,W
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,-2.1,-1.26,1.27,0.61,e,W
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18,-0.81,-0.45,0.46,-1.38,e,B
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,0.61,0.19,0.65,-1.38,e,W
M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,-0.91,1.43,-0.78,1.82,e,B
F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,-0.32,0.74,-0.12,0.79,e,B
M,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685,15,-0.16,-0.87,-1.38,-0.33,e,H
M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20,0.05,1.05,-1.42,0.34,e,H
F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14,0.71,0.91,-0.61,-0.61,e,B
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,-1.76,-0.25,0.12,0.9,e,W
M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9,-1.36,0.31,-2.35,-0.89,e,W
M,0.525,0.405,0.135,0.7575,0.3305,0.21600000000000005,0.195,10,2.34,-1.38,-0.69,-0.83,e,B
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,-0.7,0.76,0.85,1.69,e,B
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,-1.0,2.01,0.17,0.24,e,W
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10,-1.25,1.75,-0.31,1.61,e,B
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7,0.28,-1.15,1.18,0.05,e,H
I,0.405,0.315,0.105,0.34700000000000003,0.1605,0.0785,0.1,9,1.73,-1.91,0.85,1.69,e,B
I,0.42,0.33,0.1,0.35200000000000004,0.1635,0.08900000000000001,0.1,9,-0.73,-0.58,1.91,1.02,p,W
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9,0.86,0.81,-0.18,-0.32,e,B
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,-0.58,-0.41,-0.17,-1.29,e,H
I,0.33,0.265,0.09,0.18,0.068,0.036000000000000004,0.06,6,0.03,-0.64,-0.58,1.56,p,W
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10,-0.93,-1.2,-0.93,-0.28,e,W
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,-0.01,0.62,0.28,-0.29,e,B
M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,0.72,1.69,-1.91,0.16,e,W
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,1.2,-0.75,-2.74,0.86,e,H
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,-0.11,-0.84,0.8,1.24,e,B
M,0.525,0.425,0.12,0.7020000000000001,0.3335,0.1465,0.22,12,0.69,-0.57,1.33,0.35,e,
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,0.08,-1.51,-0.24,1.91,e,W
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13,-0.39,0.04,-0.67,1.07,e,B
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8,0.24,1.13,0.25,-0.14,e,W
I,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125,7,-0.04,2.19,-0.09,-0.88,e,W
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,-2.28,-0.24,0.2,0.64,e,H
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10,0.99,-1.04,-0.36,-0.53,e,W
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10,-0.44,0.43,-0.18,0.04,e,B
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,-0.12,0.45,1.37,0.1,e,H
F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11,0.47,-2.39,0.38,-1.55,e,W
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11,-0.39,0.25,0.19,-0.57,e,B
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23,1.92,-1.9,1.04,0.33,e,B
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,-0.98,0.15,0.89,1.04,e,W
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16,0.23,0.75,1.8,1.08,e,H
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,-0.53,0.79,-0.99,-1.08,e,B
M,0.47,0.375,0.13,0.5795,0.2145,0.16399999999999998,0.195,13,-0.95,0.27,-0.94,0.53,e,W
F,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125,13,0.25,-0.69,-0.9,-0.43,e,W
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,-0.22,0.34,-0.81,-0.45,e,W
I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,8,-1.0,-0.09,0.86,-1.07,e,W
M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,0.39,2.23,2.73,0.36,e,B
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,-0.02,-0.38,0.85,-0.56,e,B
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,0.23,1.07,-0.59,-0.79,e,W
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,0.69,-0.67,0.17,-0.69,e,H
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,1.34,-0.31,0.12,-0.21,e,W
F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,-1.02,1.07,0.46,-1.01,e,W
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15,-0.18,0.01,0.72,-0.19,e,W
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,0.6,-1.42,1.04,1.73,e,B
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,0.26,0.31,2.13,0.1,e,W
M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,0.8,0.1,0.01,0.57,e,B
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,-0.09,-0.76,1.71,-1.2,e,H
F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17,-0.64,0.0,0.42,-0.79,e,W
F,0.415,0.305,0.105,0.3605,0.12,0.08199999999999999,0.1,10,1.96,-0.1,-1.5,1.59,e,B
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,0.48,0.24,0.96,-0.89,e,B
M,0.475,0.395,0.135,0.5920000000000001,0.2465,0.1645,0.2,13,0.48,1.06,-0.79,0.45,e,W
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,0.05,-1.54,1.1,0.08,e,
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,0.08,-0.93,0.17,-0.81,e,H
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9,0.74,-0.81,1.97,-0.95,e,W
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15,0.27,-0.36,-1.37,-1.28,e,W
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9,0.52,-0.71,1.29,-1.25,e,B
M,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445,13,1.16,1.14,-1.64,-0.72,e,H
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23,0.76,-0.29,0.94,1.78,e,W
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,-0.57,0.26,0.39,-0.82,e,W
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18,-0.24,0.0,-1.14,2.92,e,W
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,1.72,-0.18,0.01,-0.77,e,W
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17,-0.09,-0.69,0.76,0.14,e,W
M,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455,17,0.14,-0.31,2.08,0.78,e,B
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,-1.07,0.17,-0.49,-0.7,e,W
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7,1.89,-1.42,0.45,1.74,e,B
I,0.255,0.185,0.07,0.075,0.028,0.018000000000000002,0.025,6,-0.86,0.2,-0.08,-0.44,e,H
I,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008,6,-0.44,-2.25,-0.42,1.12,e,W
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21,0.02,1.48,-2.09,0.1,e,W
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,0.86,-0.08,-1.64,-0.24,e,W
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,-1.2,-0.45,-0.59,-0.18,e,W
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,-0.51,1.1,1.21,-0.8,e,H
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16,1.58,-1.46,0.72,-0.16,e,W
F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9,-0.92,1.04,0.44,-2.35,e,H
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.21600000000000005,12,-1.02,0.89,-0.46,-0.3,e,W
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19,-1.2,-0.44,-0.42,-0.74,p,H
M,0.7,0.53,0.19,1.3185,0.5479999999999999,0.233,0.42,18,1.49,0.27,0.69,1.41,e,W
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,-0.31,1.79,-0.93,0.81,e,W
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11,1.99,-1.37,-0.81,-1.67,e,W
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,0.56,0.2,1.34,-0.14,e,
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,1.21,-1.25,-0.03,-0.42,e,
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17,0.72,-0.22,0.14,-0.02,e,B
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,-2.26,0.87,-0.76,-0.23,e,
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,0.06,-0.21,1.75,-0.13,e,W
F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11,-0.68,-0.64,0.26,0.75,e,H
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12,-0.88,0.07,-0.61,0.82,e,
F,0.66,0.525,0.205,1.3665,0.5005,0.29100000000000004,0.41,18,-1.3,-0.35,0.57,1.1,e,H
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18,-0.95,1.95,-0.07,-0.79,e,W
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15,0.55,-0.39,-0.48,-0.13,e,W
F,0.63,0.505,0.165,1.065,0.4595,0.21600000000000005,0.315,12,-0.51,-1.43,-1.59,-0.78,e,H
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,0.06,-0.48,0.62,0.16,e,W
M,0.65,0.545,0.16,1.2425,0.487,0.29600000000000004,0.48,15,0.95,-0.22,-1.21,0.49,e,B
F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16,0.1,0.33,-0.24,1.19,e,B
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12,-1.45,-0.06,0.51,0.27,e,A
I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8,0.72,-0.21,-0.56,-1.7,e,B
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3,2.38,-0.88,1.79,-0.35,e,H
F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,0.67,0.54,-0.4,0.59,e,W
F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12,0.05,0.01,-0.85,1.57,e,W
I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12,-1.45,0.1,0.06,-0.11,e,W
M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10,-2.42,-0.38,-1.07,-1.6,p,W
F,0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8,-0.96,-0.54,0.37,1.13,e,B
I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12,-0.29,0.43,0.7,2.03,e,W
I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12,1.41,0.53,-0.86,-1.09,e,B
F,0.36,0.265,0.09,0.2165,0.096,0.037000000000000005,0.0735,10,1.78,0.58,0.3,0.98,e,W
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5,0.84,-1.09,-1.11,-0.08,e,
M,0.155,0.115,0.025,0.024,0.009000000000000001,0.005,0.0075,5,0.23,-0.54,0.6,-0.93,e,H
I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11,-0.3,0.92,-0.31,0.57,e,W
F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16,-0.08,1.76,0.28,-0.44,e,W
F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11,0.17,0.31,-0.55,0.28,e,W
F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12,0.75,-0.83,-0.64,-0.88,p,W
F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14,0.43,0.0,-0.75,-1.4,e,H
I,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,11,0.07,-0.93,1.46,0.94,e,W
I,0.515,0.375,0.14,0.6505,0.2495,0.141,0.2215,10,0.11,2.19,-1.26,-0.52,p,W
M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,11,0.8,1.76,-1.38,-0.99,e,B
F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16,-0.46,-0.32,-0.02,-0.45,e,H
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10,-1.23,-0.81,0.87,-1.4,e,W
M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10,-0.13,-0.27,-0.32,1.35,e,B
I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7,-0.06,-0.59,-0.86,1.14,e,O
I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14,0.36,0.89,-1.36,-0.85,e,W
I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14,1.01,1.81,1.39,0.42,e,W
I,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14,2.8,0.22,-1.48,-0.08,e,B
I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17,-0.93,0.24,-1.8,0.86,e,H
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14,1.06,-0.17,2.08,-1.25,e,W
F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17,-0.2,0.61,-2.22,0.53,e,W
I,0.445,0.33,0.1,0.4370000000000001,0.163,0.0755,0.17,13,1.52,-0.4,1.05,1.08,p,H
F,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12,0.22,-1.24,0.22,-1.64,e,W
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16,-0.39,-1.24,0.76,0.63,e,W
M,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,10,0.0,1.48,-1.05,0.67,e,B
I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15,0.52,1.95,1.12,-0.23,e,B
I,0.655,0.515,0.145,1.25,0.5265,0.28300000000000003,0.315,15,-1.39,-0.49,-0.21,-0.27,e,W
F,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10,-0.35,1.13,-0.83,-0.02,e,W
I,0.625,0.43,0.175,1.411,0.5720000000000001,0.297,0.395,12,1.0,-0.96,0.13,-0.72,e,A
I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15,-1.16,0.66,-0.76,1.18,e,W
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8,1.43,-2.08,0.78,-1.33,e,W
F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,10,-1.17,1.48,-0.95,-1.45,e,H
I,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9,1.11,1.25,1.19,-0.45,e,H
M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7,-1.88,-0.21,-0.81,-0.94,e,W
F,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17,12,-0.58,0.78,-0.04,1.18,e,W
I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9,1.61,0.24,0.85,1.15,e,H
M,0.4,0.315,0.105,0.287,0.1135,0.037000000000000005,0.113,10,1.47,1.04,-1.1,0.49,e,W
M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18,0.25,-1.6,-1.62,-0.98,e,B
M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11,-0.69,0.99,0.89,-0.23,e,W
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18,0.74,-0.76,0.51,-0.85,e,N
F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10,-0.31,1.83,-0.6,-1.15,e,W
M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13,0.78,0.01,0.11,0.12,e,H
I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15,2.0,0.84,0.37,0.82,e,W
F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12,0.81,-2.35,0.53,0.4,e,W
F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10,0.22,0.59,1.29,-1.05,e,W
M,0.26,0.2,0.065,0.096,0.044,0.027000000000000003,0.03,6,0.82,0.19,-0.02,2.89,e,H
I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13,0.31,1.78,-0.71,-0.65,e,W
I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14,0.08,-0.15,-0.33,2.15,p,H
M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6,-1.22,0.3,1.79,1.01,e,H
F,0.53,0.385,0.125,0.6695,0.289,0.151,0.18,10,1.05,-0.88,-0.44,0.36,e,H
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9,-0.44,1.77,0.26,-0.25,e,H
I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11,2.42,-0.08,1.18,0.82,e,W
F,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,18,0.86,-0.56,-0.58,-1.43,e,W
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11,-2.35,0.08,-0.17,0.49,e,W
F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16,1.96,0.53,0.25,-0.65,e,B
I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16,-0.85,0.56,1.62,-0.7,e,B
F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14,1.15,-0.09,0.44,-0.45,e,B
M,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23,-1.31,-2.17,-0.4,-0.48,e,W
I,0.335,0.24,0.095,0.17,0.062,0.039,0.055,9,1.55,-2.35,-1.08,0.02,e,
F,0.515,0.4,0.17,0.7959999999999999,0.258,0.1755,0.28,16,2.51,-0.27,1.71,0.87,e,H
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9,1.64,-0.75,0.91,-1.88,e,H
M,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13,1.11,0.48,1.16,-1.94,e,
M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10,-0.41,0.4,0.58,1.54,e,B
M,0.475,0.355,0.125,0.4625,0.18600000000000005,0.107,0.145,9,0.09,1.02,0.1,1.34,e,B
F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11,-0.99,0.78,0.69,-0.35,p,H
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9,0.61,-0.59,0.97,0.84,e,B
M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12,-0.39,0.43,-1.01,-0.26,e,H
F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14,0.01,-0.76,-0.69,-0.9,e,
I,0.275,0.205,0.08,0.096,0.036000000000000004,0.0185,0.03,6,1.29,0.0,-0.46,0.17,e,W
F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7,1.87,-0.35,1.44,0.0,e,H
F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9,1.39,0.08,0.09,-1.4,e,H
F,0.42,0.33,0.125,0.463,0.18600000000000005,0.11,0.145,10,0.01,-1.24,0.22,-0.4,e,B
M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,10,0.62,-0.87,0.89,0.01,e,A
M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9,-1.79,-1.77,0.91,-0.88,e,W
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8,0.82,2.47,-0.57,-0.77,e,W
I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027000000000000003,5,-0.63,1.43,-0.82,0.04,e,W
I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6,-1.1,-0.01,-1.2,-2.07,e,W
I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5,-0.59,1.31,-1.56,0.08,e,W
I,0.25,0.185,0.065,0.071,0.027000000000000003,0.0185,0.0225,5,-0.85,-0.5,0.0,2.13,e,
I,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011,4,0.03,-0.95,-0.05,-0.29,e,H
F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20,-0.28,0.1,-1.27,-0.54,e,B
M,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14,0.7,0.18,0.04,-0.02,e,H
F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13,-2.12,-2.04,0.96,-0.17,e,W
M,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13,8,0.02,-0.59,-1.23,-0.52,e,W
M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17,-1.33,0.73,-0.02,1.27,e,N
F,0.52,0.405,0.14,0.6915,0.276,0.13699999999999998,0.215,11,0.12,0.04,0.44,-1.34,e,B
M,0.5,0.39,0.13,0.7090000000000001,0.275,0.168,0.18,11,0.35,0.26,-0.35,1.14,e,B
M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9,0.84,0.52,1.42,-0.05,e,W
M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16,-0.73,0.15,-0.12,1.18,e,W
F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8,-0.36,0.88,-0.33,-0.47,e,W
M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13,2.08,0.46,3.51,1.22,e,H
M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11,-0.23,0.39,2.48,0.69,e,W
M,0.565,0.44,0.175,1.122,0.393,0.2,0.375,20,-0.07,0.05,0.7,-1.04,e,H
M,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,14,-0.37,0.42,0.49,0.0,e,B
F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,14,1.3,1.14,1.73,-0.74,e,B
M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14,0.4,1.53,-0.21,-0.35,e,W
F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12,1.22,0.95,-0.47,-0.92,e,B
M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18,-1.2,-1.33,0.59,0.49,e,A
M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13,0.48,-0.99,0.76,-1.42,e,B
F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8,0.05,1.52,-0.31,-0.5,p,W
F,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,14,-0.55,1.65,-0.44,-1.88,e,W
F,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,13,0.61,0.17,0.41,1.67,e,W
M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8,0.43,-0.22,1.15,-0.5,e,H
M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,12,-0.4,0.7,-1.12,-0.56,p,B
F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14,0.31,-0.79,-0.35,0.75,e,W
M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14,-0.37,-0.24,-0.31,1.61,e,W
I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8,0.61,-0.87,1.28,-0.06,e,W
F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13,-0.61,0.25,-0.82,0.52,e,W
F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11,-1.37,1.43,0.34,1.04,e,W
M,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,14,-0.53,0.37,-1.78,1.3,e,B
M,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835,15,-0.21,-1.52,1.51,-0.65,e,W
M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7,-1.44,-0.34,0.37,-1.56,e,N
F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10,-0.92,-1.03,-0.64,-0.16,e,W
F,0.475,0.38,0.145,0.57,0.16699999999999998,0.118,0.187,11,0.02,0.93,0.46,0.86,e,W
I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8,-1.69,-0.41,1.3,-0.19,e,W
M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9,0.21,-1.71,-0.74,0.78,e,W
M,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,12,1.25,-0.12,-1.06,0.72,p,H
F,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,15,-0.84,-0.22,-0.3,-0.66,e,H
M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12,-2.62,-0.2,1.31,-0.07,e,W
M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,0.8,0.66,-1.49,-0.71,e,B
M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19,0.74,0.57,-0.56,0.26,e,W
F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12,-0.61,1.65,0.88,0.61,e,B
F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9,1.56,0.86,-0.11,-0.56,e,H
